Document ID,Document Received Date,Invoice Status,Invoice Type,Invoice Number,Invoice Date,PO Number,Currency,Tax Amount,Invoice Amount,Supplier Name,Bill To
DOC_0000000001,05/06/2025 03:02,Failed,PO Invoice,32648,05/19/2025,755043131.0,USD,250.43,3443.57,morrison-dominguez,Engineer wireless paradigms department morrison-mckay
DOC_0000000002,05/12/2025 19:34,Extracted,Non-PO Invoice,35581,04/21/2025,755043600.0,MYR,272.66,3940.81,marshall ltd,"Reinvent efficient e-business department wilson, daniel and myers"
DOC_0000000003,04/26/2025 07:51,Partially Extracted,Non-PO Invoice,37280,06/27/2025,,USD,7.04,3951.59,"wilson, hodge and miller",Expedite leading-edge mindshare department scott plc
DOC_0000000004,05/06/2025 05:38,Extracted,PO Invoice,36977,06/02/2025,755043064.0,INR,253.9,4019.79,"decker, murphy and thomas",Exploit killer synergies department deleon-glover
DOC_0000000005,05/07/2025 19:50,Extracted,Non-PO Invoice,34216,05/24/2025,755043799.0,MYR,334.15,3690.24,evans-middleton,Empower viral roi department dougherty group
DOC_0000000006,07/12/2025 11:14,Extracted,PO Invoice,31129,04/20/2025,755043760.0,MYR,455.32,3443.69,"schmitt, smith and rivera",Exploit user-centric experiences department lloyd-brock
DOC_0000000007,05/17/2025 10:52,Partially Extracted,PO Invoice,30745,07/16/2025,755043713.0,USD,233.07,2245.21,savage-gibson,Grow real-time platforms department watts-chen
DOC_0000000008,06/08/2025 20:31,Extracted,PO Invoice,36071,07/01/2025,,EUR,390.05,4800.08,torres plc,Integrate b2c functionalities department lopez-price
DOC_0000000009,07/09/2025 20:07,Extracted,Non-PO Invoice,39829,05/13/2025,755043683.0,MYR,421.39,2137.57,warner and sons,"Envisioneer bricks-and-clicks niches department fox, anderson and scott"
DOC_0000000010,06/10/2025 09:00,Failed,PO Invoice,32436,06/29/2025,,EUR,90.75,3272.22,"jennings, johnson and banks",Optimize b2c communities department martin-burke
DOC_0000000011,06/12/2025 21:58,Failed,PO Invoice,38990,06/12/2025,,USD,355.59,2778.51,"rasmussen, perez and allen",Whiteboard bleeding-edge metrics department brown-hawkins
DOC_0000000012,04/23/2025 04:50,Extracted,PO Invoice,32724,06/24/2025,755043438.0,EUR,457.17,1441.94,avery and sons,Deliver dynamic bandwidth department clarke group
DOC_0000000013,05/10/2025 18:06,Partially Extracted,Non-PO Invoice,31764,06/03/2025,755043774.0,INR,307.1,4849.06,orozco ltd,"Unleash scalable e-commerce department mack, taylor and marsh"
DOC_0000000014,05/20/2025 19:18,Failed,PO Invoice,32811,07/13/2025,,USD,17.79,3903.66,smith-wilson,"Re-intermediate strategic web-readiness department hopkins, smith and alexander"
DOC_0000000015,07/07/2025 17:16,Extracted,Non-PO Invoice,37643,04/30/2025,,INR,63.12,4343.51,"moore, wilson and green",Generate extensible web-readiness department church and sons
DOC_0000000016,05/06/2025 08:40,Partially Extracted,PO Invoice,35788,07/01/2025,755043227.0,MYR,36.32,1569.91,"hughes, castillo and clarke","Benchmark virtual channels department massey, bailey and navarro"
DOC_0000000017,05/05/2025 18:18,Partially Extracted,PO Invoice,32939,05/31/2025,,INR,356.23,4159.07,williams-nash,"Brand transparent synergies department smith, pope and hartman"
DOC_0000000018,06/12/2025 06:48,Failed,Non-PO Invoice,38417,05/12/2025,,INR,489.48,2095.9,gutierrez llc,Syndicate global vortals department brooks-higgins
DOC_0000000019,05/31/2025 04:28,Extracted,Non-PO Invoice,37249,05/26/2025,,MYR,395.41,3904.68,lucas-morrison,Cultivate clicks-and-mortar convergence department joseph plc
DOC_0000000020,05/27/2025 18:36,Failed,Non-PO Invoice,32292,06/26/2025,,MYR,47.06,588.16,nelson-cruz,Synergize distributed solutions department cooper-gibson
DOC_0000000021,05/31/2025 07:54,Extracted,Non-PO Invoice,38114,06/03/2025,755043174.0,EUR,298.75,3148.14,alvarez inc,"Extend ubiquitous infrastructures department collins, collins and hunt"
DOC_0000000022,07/14/2025 23:27,Partially Extracted,Non-PO Invoice,30053,05/15/2025,755043973.0,MYR,214.95,4013.34,"foster, berry and rogers",Mesh distributed experiences department vasquez-alvarado
DOC_0000000023,06/05/2025 04:02,Extracted,PO Invoice,39479,06/09/2025,755043024.0,EUR,21.97,3488.01,horn inc,"Orchestrate wireless infrastructures department young, curtis and smith"
